mjd,flux,flux_err,passband,redshift,hostgal_specz,hostgal_photoz
59581.3574,8.065177,21.49737,6222,0.05,0.05,0.05
59582.353,-0.654329,26.617113,6222,0.05,0.05,0.05
59584.1671,23.205259,20.615538,4827,0.05,0.05,0.05
59586.1234,45.123456,18.234567,6222,0.05,0.05,0.05
59588.5678,67.890123,15.345678,6222,0.05,0.05,0.05
59590.2345,89.456789,14.567890,6222,0.05,0.05,0.05
59592.8901,112.345678,16.789012,6222,0.05,0.05,0.05
59595.4567,98.765432,14.234567,6222,0.05,0.05,0.05
59598.1234,76.543210,17.890123,4827,0.05,0.05,0.05
59600.7890,54.321098,20.123456,6222,0.05,0.05,0.05
59603.4567,32.109876,22.345678,6222,0.05,0.05,0.05
